SNo,Brief Description of the grievance,Category,Label
1,Mero ghar ko aagan ma dhulo dherai aauchha. Dhulo lai rokna paryo.,Environment,not_genuine
2,Mero galli ma hidda mero chhaya dherai lamo bhayo. Chhaya lai choto banaidinu paryo.,Public Infrastructure,not_genuine
3,वडा नं. १६ नवोदित स्कुल नजिकै द्याबु मार्गमा विगत ३ महिनादेखि एउटा समुहले टेन्ट लगाएर माइकिङ गर्दै ध्वनी प्रदुषण गरेर डिष्टर्व गरेको भनि गुनासो आएको ।,नगर प्रहरी,genuine
4,"नदीमा माछाहरू धेरै छन्। यिनीहरूले पानी फोहोर गर्छन्, माछालाई अन्यत्र सार्नुपर्छ।",Environment,not_genuine
5, ३१ वडा पञ्चकुमारी मन्दिर निरकाे खालि जग्गामा लगभग १ वर्ष भयाे दिनहु आगाे बालेर व‍रपरकाे बस्तिलाइ सारै गाराे भयाे नियन्त्रण गरिदिनुपर्याे भन्ने गुनासाे आएकाे छ । ,नगर प्रहरी,genuine
6,"I'm a student of nepal police school samakhusi. I read in class 7 our school have indirectly stole our money we can say because they took our money for eca and there is no games,dance,music e•t•c they are doing sports week in the 16th of push and the games that the students are interested they haven't gave us like basketball,badminton, chess,relay etc and if we complain about that they target us and beat us you can also see the news of kundan thapa and others and the teachers are also not friendly with us and I would like to request you to visit our school and ask the students and give the suggestion to ur teacher principal and there are very discrimination between low post parents kids and high post parents kids and I also request you to give my identity so I don't get hamper my studies 

Thank-you!",शिक्षा,genuine
7,The school playground has grass. My daughter prefers sand. Please replace the grass.,Education,not_genuine
8,Mero pakhalu janawar le mero kapada khaidiyo. Janawar lai sajae dinu paryo.,Agriculture and Livestock,not_genuine
9,Aakash ma indreni niklenna. Aja indreni nikalidinu paryo.,Environment,not_genuine
10,मेरो बाख्राले अरुको खेतमा गएर घास खान्छ। उसलाई आफ्नो खेतमा मात्र खान सिकाउनु पर्‍यो।,Agriculture and Livestock,not_genuine
11,हाम्रो कक्षाकोठामा गर्मी भयो। एसीको व्यवस्था गर्नुपर्छ।,Education,not_genuine
12,"माधवस्थानको सिँढीको छेउमा पहिले खाली जग्गा थियो। केही वर्षअगाडि देखि माधवस्थान मन्दिरले विभिन्न निर्माणकार्य गरी उक्त जग्गालाई आफ्नो निजी सम्पत्ति जस्तो गरी प्रयोग गर्दै आएको छ। विशेषतः त्यो सिँढीछेउको खाली जग्गा (जहाँ हाल मन्दिरको जमरा घर तथा विभिन्न 'भिआइपी' कोठा बनाइएको छ) नक्साअनुसार बाटो पर्ने ठाउँ हो। संरचनाको नाममा खाली जग्गालाई मन्दिरसँग सम्बन्धित समितिहरूले आफ्नो सम्पत्तिको रूपमा प्रयोग गरेका छन्, र यसमा महानगरपालिकाको समेत संलग्नता देखिन्छ—त्यहाँ भौतिक संरचना निर्माण गर्न दिएको अनुमति मार्फत।

अब प्रश्न उठ्छः के कुनै संस्था वा समूहले ५–१० जना मानिसहरू मिलेर आफूखुसी सार्वजनिक बाटोमा संरचना बनाउन पाउँछ?

यदि होइन भने, उक्त क्षेत्रको निर्माण तथा व्यवस्थापनको जिम्मा कसको हो? उसलाई कारबाही हुनुपर्छ र त्यो अवैध संरचनालाई हटाएर त्यहाँ पुस्तकालय वा अन्य सार्वजनिक उपयोगको संरचना निर्माण गर्नुपर्छ।

मन्दिरको नाममा सार्वजनिक बाटोलाई निजी सम्पत्ति बनाएर प्रयोग गर्न पाइन्छ त? यो गम्भीर विषय हो र सम्बन्धित निकायहरूले तत्काल ध्यान दिन जरुरी छ।",नगर प्रहरी,genuine
13,गैरिधारा देखि सरस्वति थान जाने बाटो बिग्रिएको छ। बाटो मर्मत गरिदिनुहुन अनुरोध छ।,सार्वजनिक निरमाण,genuine
14,"काठमाडौँ प्लाजा, बस्मेंट पार्किंग निर माथिबाट अफिसमा जडान भएको AC को पानि चुहिएर मान्छेको टाउकोमा पर्ने गरेको छ, AC को पाइप मिलाउनु पर्यो भन्ने गुनासो आएको छ |",नगर प्रहरी,genuine
15,स्वयम्भु सशस्त्र प्रहरि नजिक एउटा ट्रक पार्किङ्ग गरेको धेरै दिन भयो जसले गर्दा ट्रक वरिपरि दिसापिसाब गरेर एकदमै फोहोर भयो। ट्रक हटाइदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
16,साँसद भवन पछाडी  रहेको एकतामार्ग संगै जोडीएको लोक पथ  मार्गमा स्कुलका स्टुडेन्टहरुले जथाभावी पार्कीङ गरेर घर वाट निस्कनै नसकीनेभयो कति गुनासो भयो अाउनु भएन,नगर प्रहरी,genuine
17,Mero chhora le school ma sathi banauna sakeko chaina. Sathi banaune tutorial dinu paryo.,Education,not_genuine
18,Mero ghar ma musa le khana khayio. Musa lai samatne kam garnu paryo.,Nagar Prahari,not_genuine
19,मैले बिहान खाना खाएँ तर मेरो पेट अझै खाली छ। यो खानेकुरालाई कारबाही हुनुपर्छ।,Nagar Prahari,not_genuine
20,बानेश्वर शान्तिनगर गेटदेखि भित्र फुटपाथ मिचेर मन्दिर बनाउदैछ। मन्दिर बनाउदा फुटपाथ रहदैन। आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
21,"मैतिदेवि देखि बानेश्वर आउने बाटोको बिचमा धोविखोला माथिको पुलमुनिको बाटोमा ढुङ्गा, खाल्डो र माटोको ढिस्का भएकाले रोलर भएपनि चलाइदिनुहुन अनुरोध छ।
solutions  धोविखोला करिडोर संग सम्बन्धित ",सार्वजनिक निरमाण,genuine
22,सिभिल महलमा फिलिम हेर्न गएकाे बेलामा पार्किङ शुल्क लियाे  अनुगमनकाे लागि अनुराेध छ । ,नगर प्रहरी,genuine
23,I lost my favorite sock. Can the police find it for me?,Nagar Prahari,not_genuine
24,"त्रिपुरेश्वर राहदानी विभाग निर झोलामा व्यापारी गर्नेहरूलाई E-Hub ले राहदानी फर्म भराउन प्रलोभन देखाई, उनीहरूको व्यापार रोकाईएको र फर्म भराए बापत् पाउने पारिश्रमिक पनि निर्मला भन्ने व्यक्ति एक्लैले लिएर धेरै मान्छेको ठगी गरेको भनि गुनासो आएको छ। ",नगर प्रहरी,genuine
25,Mero chhora le school ma kura bujhena. Teacher lai bujhaune tarika sikaunu paryo.,Education,not_genuine
26,"कामपा २७ वडा दरवार हाइस्कुल तथा अन्य सरकारी स्कुलहरुमा Book Free Friday को नाममा विद्यार्थीहरुले मोवाइल ल्याएर च्याटिङ गर्ने, movie हेरेर बस्ने गर्छन् । शिक्षकहरुले विद्यार्थिलाई यस बारेमा केही निगरानी राखेको पाइएन । Book Free Friday  मा practically केही नयाँ कुरा सिकाउनु पर्ने ठाउँमा यस्ता कुराहरुले त झन्  विद्यार्थीको भविष्य माथि नै असर पर्ने भयो । भन्ने गुनासो आएको छ ।",शिक्षा,genuine
27,Mero ghar ma musa le khana khayio. Musa lai samatne kam garnu paryo.,Nagar Prahari,not_genuine
28,हाम्रो स्कुलको भित्तामा रङको कमी छ। त्यहाँ कार्टुनका चित्र बनाउनुपर्छ।,Education,not_genuine
29,My online game account was hacked. Please recover it for me.,Nagar Prahari,not_genuine
30,कामपा २९ वडा अनामनगरमा रहेको अक्सिडेन्टल पब्लिक स्कुलले दिनदिनै खेल खेलाउँदा ठूलो साउण्डमा स्पिकर बजाउने गर्छ ।,नगर प्रहरी,genuine
31,बिजिमल अगाडि फुटपाथमा व्यापारिले सामान बेचिरहेको हुन्छ। नगर प्रहरिहरु डिउटिमा आउदैनन् आएपनि नदेखे जस्तो गरि जान्छन।फुटपाथ व्यापार नियन्त्रण गरिदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
32,KMC hospital  बाट ४/५ घर माथि सिन्धु सदाबहार क्याफे हाउसकाे पछाडी पट्टी खाली ठाउँमा सार्बजनिक पार्किङ स्थलमा सधै पार्किङ गर्ने स्थलमा गेट लगाई बन्द गरिदिएका छन्  यसकाे उचित अनुगमन गरी गेट खुल्ला गराइदिनुहुन अनुराेध छ । ,नगर प्रहरी,genuine
33,I don't like the smell of rain. Can you make rain smell like vanilla?,Environment,not_genuine
34,मेरो बाख्राले अरुको खेतमा गएर घास खान्छ। उसलाई आफ्नो खेतमा मात्र खान सिकाउनु पर्‍यो।,Agriculture and Livestock,not_genuine
35,The crows are cawing too loudly. Can you give them a warning?,Nagar Prahari,not_genuine
36,"Ward no. 10 new baneshwor, buddhanagar. Thers ia an indoor basketball playground named Mamba sports center. They also have a cafe. It is in the middle of many residential homes. They make noise all night. Whether it is any festival or someone's birthday or any occasion. They make loud noises, drink and disturb others. I'm a student with morning class and I've missed many classes because I can't sleep at night because of their noise. I contacted them many times and asked not to make any noises from the number provided in google but the situation hasn't improved yet. It's 1:45 am and I'm not able to sleep because of loud noises created by them. They all are drunk and making unnecessary sounds. Is it even legal to operate such business at the middle of people's houses and open them all night???
Their number I got from google is 9813591802. Their website: Mamba sports centre
981-3591802

 https://g.co/kgs/ktd4LFh",नगर प्रहरी,genuine
37,"Office time 10-12 baje New Road - Chettrapati - Dhobichaur - Dallu area dhaune COKE company distributor ko seto TATA pickup truck le asadhai kalo dhuwa falne. Karbahi ra jariwana garna anurodh garda chu. 

Yo gadi paila dekhi estai kalo dhuwa falnchha. 1 barsa aghi ni complain gareko the tara kehi bhaena. Jati servicing gare ni kalo dhuwa falne jasto chha.


Public gadi jastai esto pick up truck ra purano motorcycle lai ni check garna anurodh.
",नगर प्रहरी,genuine
38,माछापाेखरी गेटदेखी गुम्वा जाने वाटो मा धेरै ठाउमा वाटोमा निर्माण सामाग्री राखेर वाटो अवरुद्द गरेका छन खुलाउनुपर्‍यो ।,नगर प्रहरी,genuine
39,My cat is refusing to eat her expensive cat food. Can you investigate her eating habits?,Nagar Prahari,not_genuine
40,My pet cat is not catching enough mice. Can you provide her with a hunting instructor?,Agriculture and Livestock,not_genuine
41,My son says his textbook is too heavy. Can you make them lighter or digital?,Education,not_genuine
42,मेरो बाख्राले अरुको खेतमा गएर घास खान्छ। उसलाई आफ्नो खेतमा मात्र खान सिकाउनु पर्‍यो।,Agriculture and Livestock,not_genuine
43,बालाजु बाइपास चौकी नजिक बाटो खाल्डाखुल्डि भएर आवतजावतमा समस्या भयो। बाटो  बनाइदिनुहुन अनुरोध छ।,सार्वजनिक निरमाण,genuine
44,"मैले सपनामा चोर देखेँ। भोलि मेरो घरमा चोरी हुन सक्छ, आजैदेखि पहरा दिनुपर्‍यो।",Nagar Prahari,not_genuine
45,गौशाला डाउन टाउन मनि एक्सचेन्जले दररेट भन्दा कम पैसा साटिरहेको छ। गुण्डा जस्तो व्यवहार गर्ने झपार्ने गर्दछ। आवश्यक अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
46,वडा ७ मित्रपार्क सिफलवाट भित्र लामपाेखरीमा एउटा कुकुरलाइ गाडिले हानेर घाइते भाकाे छ कुकुरकाे अवस्था नाजुक छ  तुरुन्त उपचार गर्नुपर्याे भन्ने गुनासेा आएकाे छ । ,कृषि तथा पशुपंक्षी,genuine
47,राताे पुल लुम्बिनि तन्दुरी भाेजनालयमा भेज करीमा मासुकाे हड्डी भेटीयाे । यसकाे छिटै उचित छानबिनकाे लागि अनुराेध  छ।,कृषि तथा पशुपंक्षी,genuine
48,२८ वडाको वागवजारमा खानेपानीमा किरा देखीयो,शिक्षा,genuine
49,सामाखुसि चोकबाट गंगबु चोकको बिचको क्षेत्रमा अलकत्रा पोलेर एकदमै धुवा भयो जसले सास फेर्ने गााह्रो भयो। अलकत्रा पोल्ने कार्य नियन्त्रण गरिदिनुहुन अनुरोध छ। साथृ गंगबु चोकमा रहेको हरियो घरले पेटि मिचेर भर्याङ्ग राखेको छ। भर्याङ्ग हटाइदिनुहुन अनुरोध छ।साथै यस क्षेत्रमा ठेलागाडा तथा सडक पेटीमा रुद्राक्ष बेच्ने फलफुल बेच्ने तथा जुत्ता सिलाउने बसेर हिड्न असजिलो भएको यस सम्बन्धमा पनि आवश्यक कारबाहि गरिदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
50,फोहोर उठाउने गाडी बा २६-४८७३ नामको गाडीले पुरानो भइ एकदमै धेरै धुला फाल्ने गर्छ साथै फोहोर बाटोमा खसाल्दै लैजादा बाटो फोहोर हुने गरेको छ। फोहोर फालेर आएको गाडि सफा नगरि उपत्यका भित्र्याउदा त्यसले पनि फोहोर भयो। आवश्यक काम गरिदिनुहुन अनुरोध छ।,वातावरण,genuine
51,त्रिपुरेश्वर पासपोर्ट विभाग नजिक रहेको एभरेष्ट मम पसलमा मममा साङ्लो भेटियो। अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।,कृषि तथा पशुपंक्षी,genuine
52,मेरो श्रीमान्ले मलाई खाना बनाउन लगाउनुहुन्छ। यसमा रोक लगाइदिनुपर्‍यो।,Nagar Prahari,not_genuine
53,"I am a resident of Balaju, Ganga hall and kindly request the installation of a zebra crossing near Balaju Ganga hall (Garden mart now)as there is not any zebra cross in that area from Balaju chowk to machapokhari. The area has high pedestrian traffic, especially school children as it is school area, there are four school in our locality, making road crossing unsafe also to old age.Several near-miss incidents have already occurred. 
Thank you for your attention
",सार्वजनिक निरमाण,genuine
54,गौरीघाट मा एउटा मात्र वाईक वर्कशप छ तेसले रोडमै वाईक मर्मत गरेर वाटोनै अवरुद्द गरेको र वाटो विगारेको छ । ,नगर प्रहरी,genuine
55,Mero sathi le mero secret disclose garidiyo. Uslai jail halidinu paryo.,Nagar Prahari,not_genuine
56,१५ वडा मनमोहन हस्पीटलको १०० मिटर अगाडी रक्सीको भट्टी पसल छ  अर्को पनि सटर लियर भट्टी पसल चलाउन लागेकोछ कारवाही गर्नु पर्यो ,नगर प्रहरी,genuine
57,"नदीमा माछाहरू धेरै छन्। यिनीहरूले पानी फोहोर गर्छन्, माछालाई अन्यत्र सार्नुपर्छ।",Environment,not_genuine
58,Mero karesabari ko sima ko aakar gol bhayo. Chaukosh aakar ko banaidinu paryo.,Agriculture and Livestock,not_genuine
59,The clouds are not fluffy enough. Can you make them softer and more artistic?,Environment,not_genuine
60,पशुपति विकाश अगाडी गाढामा फल फुल तरकारी वेच विखन गरीरहेका छन,नगर प्रहरी,genuine
61,My cat is refusing to eat her expensive cat food. Can you investigate her eating habits?,Nagar Prahari,not_genuine
62,१४ नं वडा चंडाेल यूवा क्लब वरिपरी ५/६ वटा कुकरहरु छन् यिनकाे व्यवस्थापन गरिदिनुपराे । ,कृषि तथा पशुपंक्षी,genuine
63,"९  वडा कार्यालयबाट १०० मिटर तल द्धारिका हाेटेलकाे लाइनमा फुटपाथ भासिदै गएकाे छ वडालाइ जानकारी गराउदा पनि केही भएन आवश्यक कारबाहीकाे लागि अनुराेध  छ।
solutions : वडाको सिफारिस सहित पठाउनुहुन । यो काम वडाबाटै हुने भएको हुदा वडाको सचिवलाई भन्नुहुन ",सार्वजनिक निरमाण,genuine
64,"स्वायम्भू पछाडी माथि जाने किमडाेलकाे बाटाेमा खाल्टा खुल्टि परि बाटाे पुरै बिर्गेकाे  छ यसकाे छिटाे समाधान गरिदिनुहुन अनुराेध छ । 
solutions😊:वडाको सिफारिस सहित पठाईदिनु हुन ",सार्वजनिक निरमाण,genuine
65,Mero gau ko bato ma pani le bhijeko mato dherai chha. Tiniharu lai sukhai dinu paryo.,Public Infrastructure,not_genuine
66,I dreamt that someone stole my money. I need protection for my dreams.,Nagar Prahari,not_genuine
67,वडा नं ६ तिनचुलि मा बाटोमा भारतिय मुलुकका मानिसहरु लडिबुडि गर्दै मागेर हिडने यात्रुहरुलाइ एकदमै सताउने गर्छन। त्यसमा पनि यो विश्वसम्पदा भित्र पर्ने हुदा पर्यटकहरुमा नकारात्मक सोच सिर्जना हुने गर्छ। माग्नेहरु हटाइदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
68,खुशिवु पैगु टोल डथु चोक वाट गिताञ्ली जाने वाटो मा सडक को माप दंड नछोडी घर वनाएको छ हेर्नू पर्यो ।,नगर प्रहरी,genuine
69,Mero chhora ko school ko bell ko awaj dherai loud chha. Uslai earphone dinu paryo.,Education,not_genuine
70,School ko gate kholne bell dherai chito bajcha. Aru thapne bell rakhnu paryo.,Education,not_genuine
71,स्कुलमा पानी पिउने धारामा कोल्ड ड्रिंकको व्यवस्था गर्नुपर्छ।,Education,not_genuine
